LESTE,NORTE,CMA
566040,6742640,-8.58736228942871
566040,6746200,-14.9941062927246
566040,6749760,-20.1399192810059
566040,6753320,-23.5953216552734
566040,6756880,-26.1970195770264
566040,6760440,-29.5890331268311
566040,6764000,-34.0277061462402
566040,6767560,-38.419189453125
566040,6771120,-41.8079948425293
566040,6774680,-43.6204109191895
566040,6778240,-44.1089553833008
566040,6781800,-44.6211433410645
566040,6785360,-45.9170417785645
566040,6788920,-46.8749465942383
566040,6792480,-47.8755340576172
566040,6796040,-51.7326850891113
566040,6799600,-57.3751945495605
566040,6803160,-60.9082298278809
566040,6806720,-61.4572906494141
566040,6810280,-64.0776748657227
566040,6813840,-75.0503540039063
566040,6817400,-90.6798248291016
566040,6820960,-102.256301879883
566040,6824520,-103.437782287598
566040,6828080,-95.9491195678711
566040,6831640,-83.411735534668
566040,6835200,-70.2792816162109
566040,6838760,-59.5153465270996
566040,6842320,-49.7740364074707
566040,6845880,-39.9737129211426
566040,6849440,-33.5536994934082
566040,6853000,-33.0573348999023
566040,6856560,-35.7631950378418
566040,6860120,-37.7168807983398
566040,6863680,-38.1446304321289
566040,6867240,-38.5573806762695
566040,6870800,-37.4908294677734
566040,6874360,-31.5220546722412
566040,6877920,-24.1280384063721
566040,6881480,-23.0202007293701
566040,6885040,-27.9272937774658
566040,6888600,-30.1990528106689
566040,6892160,-30.2286777496338
566040,6895720,-32.8279304504395
566040,6899280,-29.9244785308838
566040,6902840,-20.0302085876465
566040,6906400,-9.46454238891602
566040,6909960,5.46035814285278
566040,6913520,20.9813823699951
566040,6917080,24.9885444641113
566040,6920640,17.4976291656494
566040,6924200,16.6488094329834
566040,6927760,30.7029247283936
566040,6931320,44.8397636413574
566040,6934880,44.4052238464355
566040,6938440,28.3790988922119
566040,6942000,5.18307256698608
566040,6945560,-12.5198535919189
566040,6949120,-16.082799911499
566040,6952680,-6.9504189491272
566040,6956240,5.93661642074585
566040,6959800,15.4575681686401
566040,6963360,20.8072032928467
566040,6966920,28.36106300354
566040,6970480,42.5650672912598
566040,6974040,56.4024391174316
566040,6977600,65.5308303833008
566040,6981160,77.0075836181641
566040,6984720,92.7309951782227
566040,6988280,103.352394104004
566040,6991840,101.925468444824
569600,6742640,-9.5872802734375
569600,6746200,-16.7052059173584
569600,6749760,-20.5853404998779
569600,6753320,-21.5238132476807
569600,6756880,-21.0267448425293
569600,6760440,-21.7188091278076
569600,6764000,-24.8307952880859
569600,6767560,-28.82373046875
569600,6771120,-32.0564270019531
569600,6774680,-34.3093109130859
569600,6778240,-35.7593002319336
569600,6781800,-36.9965705871582
569600,6785360,-38.4328689575195
569600,6788920,-38.9683952331543
569600,6792480,-38.5066947937012
569600,6796040,-38.6101341247559
569600,6799600,-39.3512306213379
569600,6803160,-38.1990852355957
569600,6806720,-35.541633605957
569600,6810280,-38.02197265625
569600,6813840,-50.1349449157715
569600,6817400,-66.7047958374023
569600,6820960,-75.2985610961914
569600,6824520,-72.8304595947266
569600,6828080,-64.3473968505859
569600,6831640,-55.5049247741699
569600,6835200,-48.9311408996582
569600,6838760,-43.9019660949707
569600,6842320,-36.3974647521973
569600,6845880,-26.3929920196533
569600,6849440,-21.6611213684082
569600,6853000,-26.21755027771
569600,6856560,-32.430549621582
569600,6860120,-32.3583755493164
569600,6863680,-27.5685329437256
569600,6867240,-24.0803985595703
569600,6870800,-23.0806484222412
569600,6874360,-20.5345401763916
569600,6877920,-16.2461490631104
569600,6881480,-15.8888597488403
569600,6885040,-19.532154083252
569600,6888600,-20.2774963378906
569600,6892160,-19.5925903320313
569600,6895720,-22.0872001647949
569600,6899280,-22.163990020752
569600,6902840,-20.2114887237549
569600,6906400,-17.7694568634033
569600,6909960,-7.12037706375122
569600,6913520,8.05866622924805
569600,6917080,11.0031957626343
569600,6920640,1.32981443405151
569600,6924200,1.86521232128143
569600,6927760,23.7117328643799
569600,6931320,49.566520690918
569600,6934880,58.4311370849609
569600,6938440,46.1467208862305
569600,6942000,20.9549617767334
569600,6945560,-4.14917230606079
569600,6949120,-18.8782081604004
569600,6952680,-20.3942966461182
569600,6956240,-10.7733697891235
569600,6959800,4.07897663116455
569600,6963360,17.4807071685791
569600,6966920,29.434118270874
569600,6970480,42.7302360534668
569600,6974040,52.2327613830566
569600,6977600,53.5204086303711
569600,6981160,55.1252136230469
569600,6984720,63.1056175231934
569600,6988280,72.6131286621094
569600,6991840,79.176025390625
569600,6995400,76.6267395019531
569600,6998960,63.6102485656738
569600,7002520,54.821102142334
569600,7006080,48.9100494384766
569600,7009640,35.5854377746582
569600,7013200,21.8621482849121
569600,7016760,14.0726652145386
569600,7020320,8.21170806884766
569600,7023880,-2.90798187255859
569600,7027440,-13.8591909408569
569600,7031000,-7.54543685913086
569600,7034560,12.781174659729
569600,7038120,28.0453147888184
569600,7041680,29.7966423034668
569600,7045240,17.733814239502
569600,7048800,-6.51449203491211
569600,7052360,-37.1061210632324
569600,7055920,-67.1998977661133
569600,7059480,-93.6357955932617
569600,7063040,-115.38200378418
569600,7066600,-131.732711791992
569600,7070160,-142.005599975586
569600,7073720,-144.569122314453
569600,7077280,-137.054611206055
569600,7080840,-118.053741455078
569600,7084400,-89.4173431396484
569600,7087960,-55.3917083740234
569600,7091520,-21.0934257507324
569600,7095080,10.4482440948486
569600,7098640,36.3092765808105
569600,7102200,54.8189315795898
569600,7105760,67.0712509155273
569600,7109320,67.0909194946289
573160,6742640,-11.7948980331421
573160,6746200,-17.7149906158447
573160,6749760,-19.4582786560059
573160,6753320,-18.0647296905518
573160,6756880,-15.3664970397949
573160,6760440,-14.2905521392822
573160,6764000,-16.8104858398438
573160,6767560,-21.1511039733887
573160,6771120,-24.3274478912354
573160,6774680,-25.5787181854248
573160,6778240,-25.7115573883057
573160,6781800,-25.4125671386719
573160,6785360,-24.9467678070068
573160,6788920,-24.0384483337402
573160,6792480,-22.5584602355957
573160,6796040,-20.7140235900879
573160,6799600,-18.7291450500488
573160,6803160,-15.8545293807983
573160,6806720,-13.4263439178467
573160,6810280,-16.522497177124
573160,6813840,-27.3664073944092
573160,6817400,-39.2202224731445
573160,6820960,-42.9248695373535
573160,6824520,-37.294189453125
573160,6828080,-30.1206550598145
573160,6831640,-27.3040332794189
573160,6835200,-29.1218585968018
573160,6838760,-32.0163078308105
573160,6842320,-26.5178108215332
573160,6845880,-12.2289981842041
573160,6849440,-4.29201555252075
573160,6853000,-12.0170154571533
573160,6856560,-23.8926677703857
573160,6860120,-25.443904876709
573160,6863680,-17.594425201416
573160,6867240,-11.0791616439819
573160,6870800,-11.2853031158447
573160,6874360,-13.5947399139404
573160,6877920,-13.5337505340576
573160,6881480,-14.0684099197388
573160,6885040,-16.1883506774902
573160,6888600,-16.0878849029541
573160,6892160,-15.0171031951904
573160,6895720,-14.1173114776611
573160,6899280,-13.0843887329102
573160,6902840,-12.4752244949341
573160,6906400,-13.5475959777832
573160,6909960,-12.0582323074341
573160,6913520,-7.12252283096313
573160,6917080,-9.19235324859619
573160,6920640,-18.3110046386719
573160,6924200,-18.2618618011475
573160,6927760,2.15921926498413
573160,6931320,29.1860313415527
573160,6934880,44.2594718933105
573160,6938440,43.0109977722168
573160,6942000,30.6549034118652
573160,6945560,12.3845834732056
573160,6949120,-5.97735261917114
573160,6952680,-17.9169654846191
573160,6956240,-19.1365184783936
573160,6959800,-11.3650503158569
573160,6963360,-0.217137977480888
573160,6966920,12.1400146484375
573160,6970480,26.5096435546875
573160,6974040,39.2635307312012
573160,6977600,44.9629096984863
573160,6981160,45.1045188903809
573160,6984720,44.7084655761719
573160,6988280,47.3633804321289
573160,6991840,56.2146987915039
573160,6995400,60.0178337097168
573160,6998960,54.302188873291
573160,7002520,54.8587455749512
573160,7006080,58.2049751281738
573160,7009640,48.6401596069336
573160,7013200,35.7158622741699
573160,7016760,26.1826820373535
573160,7020320,12.8626613616943
573160,7023880,-5.1969165802002
573160,7027440,-23.981990814209
573160,7031000,-32.6798629760742
573160,7034560,-27.4854564666748
573160,7038120,-14.9322195053101
573160,7041680,-2.22709012031555
573160,7045240,0.939188599586487
573160,7048800,-12.4488878250122
573160,7052360,-36.8097496032715
573160,7055920,-61.6045265197754
573160,7059480,-83.4532699584961
573160,7063040,-103.089263916016
573160,7066600,-119.607559204102
573160,7070160,-131.295593261719
573160,7073720,-136.422912597656
573160,7077280,-133.265335083008
573160,7080840,-120.202331542969
573160,7084400,-96.7340698242188
573160,7087960,-65.2784957885742
573160,7091520,-30.6498203277588
573160,7095080,2.40664529800415
573160,7098640,31.0638675689697
573160,7102200,53.2565383911133
573160,7105760,67.2753982543945
573160,7109320,67.2718200683594
576720,6742640,-14.133617401123
576720,6746200,-16.4367713928223
576720,6749760,-15.1275873184204
576720,6753320,-12.06813621521
576720,6756880,-9.10175895690918
576720,6760440,-8.48315525054932
576720,6764000,-11.8899755477905
576720,6767560,-17.2846565246582
576720,6771120,-20.9809532165527
576720,6774680,-21.761474609375
576720,6778240,-20.7155475616455
576720,6781800,-18.9032382965088
576720,6785360,-16.6027927398682
576720,6788920,-13.8331689834595
576720,6792480,-10.3592844009399
576720,6796040,-6.35694265365601
576720,6799600,-2.31839108467102
576720,6803160,1.26135694980621
576720,6806720,3.59588170051575
576720,6810280,2.71108198165894
576720,6813840,-2.26149535179138
576720,6817400,-8.24477386474609
576720,6820960,-10.3986339569092
576720,6824520,-6.74726343154907
576720,6828080,-2.39255237579346
576720,6831640,-2.08560705184937
576720,6835200,-7.20084762573242
576720,6838760,-13.1140031814575
576720,6842320,-8.22872066497803
576720,6845880,7.45500564575195
