LESTE,OESTE,BOUGUER
580000,6756000,107.220138549805
582000,6756000,105.63549041748
584000,6756000,104.495620727539
586000,6756000,103.608978271484
588000,6756000,103.046508789063
590000,6756000,103.694274902344
592000,6756000,104.459617614746
594000,6756000,105.351226806641
596000,6756000,105.885810852051
598000,6756000,106.872543334961
600000,6756000,107.788093566895
602000,6756000,108.397979736328
604000,6756000,109.27473449707
606000,6756000,109.520172119141
608000,6756000,109.762786865234
610000,6756000,110.068313598633
612000,6756000,110.718223571777
614000,6756000,111.121704101563
616000,6756000,110.780632019043
618000,6756000,111.509803771973
620000,6756000,112.57600402832
622000,6756000,114.009941101074
624000,6756000,115.133491516113
626000,6756000,116.335914611816
628000,6756000,117.339744567871
630000,6756000,117.454849243164
632000,6756000,117.169815063477
634000,6756000,116.18790435791
636000,6756000,115.421676635742
638000,6756000,114.036819458008
640000,6756000,113.151916503906
642000,6756000,113.037300109863
644000,6756000,112.58765411377
646000,6756000,111.980522155762
648000,6756000,110.488189697266
650000,6756000,109.580978393555
652000,6756000,109.050270080566
654000,6756000,109.245765686035
656000,6756000,109.227951049805
658000,6756000,108.058494567871
660000,6756000,107.179542541504
662000,6756000,106.553901672363
664000,6756000,106.602737426758
666000,6756000,106.616691589355
668000,6756000,106.705223083496
670000,6756000,106.87996673584
672000,6756000,107.397972106934
674000,6756000,109.376670837402
676000,6756000,111.076553344727
678000,6756000,112.272796630859
680000,6756000,112.379623413086
682000,6756000,112.845962524414
684000,6756000,114.660453796387
686000,6756000,117.043319702148
688000,6756000,119.319160461426
690000,6756000,119.169631958008
692000,6756000,118.506034851074
694000,6756000,118.516624450684
696000,6756000,119.30933380127
698000,6756000,120.115097045898
700000,6756000,120.002059936523
702000,6756000,120.224166870117
704000,6756000,120.627075195313
706000,6756000,122.113784790039
708000,6756000,123.410400390625
710000,6756000,123.802780151367
712000,6756000,123.664360046387
714000,6756000,123.348335266113
716000,6756000,123.940803527832
718000,6756000,124.002868652344
720000,6756000,124.039741516113
722000,6756000,123.321105957031
724000,6756000,122.757080078125
726000,6756000,122.827522277832
728000,6756000,122.705062866211
730000,6756000,122.754570007324
732000,6756000,122.384330749512
734000,6756000,122.195518493652
736000,6756000,121.403373718262
738000,6756000,120.194175720215
740000,6756000,119.220527648926
742000,6756000,118.279411315918
744000,6756000,117.675392150879
746000,6756000,116.476219177246
748000,6756000,115.645347595215
750000,6756000,114.990425109863
752000,6756000,114.888130187988
754000,6756000,115.318145751953
756000,6756000,115.362510681152
758000,6756000,115.640647888184
760000,6756000,115.230598449707
762000,6756000,115.007720947266
764000,6756000,114.71671295166
766000,6756000,114.899230957031
768000,6756000,116.202140808105
770000,6756000,117.449363708496
772000,6756000,118.413276672363
774000,6756000,118.202201843262
776000,6756000,117.854148864746
778000,6756000,117.470962524414
780000,6756000,117.27840423584
782000,6756000,117.442489624023
784000,6756000,116.820350646973
786000,6756000,116.518821716309
788000,6756000,115.449584960938
790000,6756000,114.50025177002
792000,6756000,113.901550292969
794000,6756000,112.87565612793
796000,6756000,111.576202392578
798000,6756000,109.720901489258
800000,6756000,108.169418334961
802000,6756000,106.561157226563
804000,6756000,105.760726928711
806000,6756000,105.594543457031
808000,6756000,105.517646789551
810000,6756000,105.82071685791
812000,6756000,105.55989074707
814000,6756000,105.584159851074
816000,6756000,105.729782104492
818000,6756000,106.494606018066
820000,6756000,107.024101257324
822000,6756000,107.063316345215
824000,6756000,107.908134460449
826000,6756000,109.3720703125
828000,6756000,111.192504882813
830000,6756000,112.022155761719
832000,6756000,113.060333251953
834000,6756000,113.989822387695
836000,6756000,113.484153747559
838000,6756000,112.407196044922
840000,6756000,111.216232299805
842000,6756000,111.403076171875
844000,6756000,111.865142822266
846000,6756000,112.326095581055
848000,6756000,112.644271850586
850000,6756000,112.960609436035
852000,6756000,113.553970336914
854000,6756000,113.242744445801
856000,6756000,112.776191711426
858000,6756000,111.969444274902
860000,6756000,111.644592285156
862000,6756000,111.434135437012
864000,6756000,110.667282104492
866000,6756000,109.973335266113
868000,6756000,109.353134155273
870000,6756000,109.102531433105
872000,6756000,108.216926574707
874000,6756000,107.627792358398
876000,6756000,107.57438659668
878000,6756000,107.265815734863
880000,6756000,106.895515441895
882000,6756000,106.041679382324
884000,6756000,105.99201965332
886000,6756000,105.90958404541
888000,6756000,105.811790466309
890000,6756000,105.784873962402
892000,6756000,105.827575683594
894000,6756000,106.484703063965
896000,6756000,106.507637023926
898000,6756000,106.397163391113
900000,6756000,106.435028076172
902000,6756000,107.608993530273
904000,6756000,109.298316955566
906000,6756000,110.711868286133
908000,6756000,112.541366577148
910000,6756000,113.155601501465
912000,6756000,112.669082641602
914000,6756000,111.737289428711
916000,6756000,111.84814453125
918000,6756000,112.762413024902
920000,6756000,113.771614074707
922000,6756000,114.524467468262
924000,6756000,113.99259185791
926000,6756000,113.454170227051
928000,6756000,112.918518066406
930000,6756000,112.810592651367
932000,6756000,112.642211914063
934000,6756000,111.891647338867
936000,6756000,111.178588867188
938000,6756000,109.943862915039
940000,6756000,108.710441589355
942000,6756000,107.33097076416
944000,6756000,106.186050415039
946000,6756000,104.639945983887
948000,6756000,102.822471618652
950000,6756000,102.158905029297
952000,6756000,101.202461242676
954000,6756000,99.9961700439453
956000,6756000,98.5777893066406
958000,6756000,98.3215484619141
960000,6756000,98.0747756958008
962000,6756000,97.2353897094727
964000,6756000,96.9926681518555
966000,6756000,97.2263259887695
968000,6756000,97.8978042602539
970000,6756000,97.143440246582
972000,6756000,95.8672332763672
974000,6756000,95.683349609375
976000,6756000,96.7900314331055
978000,6756000,98.4207763671875
980000,6756000,99.1883850097656
982000,6756000,100.471458435059
984000,6756000,101.649047851563
986000,6756000,102.982757568359
988000,6756000,104.553314208984
990000,6756000,105.684669494629
992000,6756000,106.472045898438
994000,6756000,106.922019958496
996000,6756000,108.550407409668
998000,6756000,109.715377807617
1000000,6756000,110.687034606934
1002000,6756000,111.430191040039
1004000,6756000,111.52131652832
1006000,6756000,111.700485229492
1008000,6756000,111.632965087891
1010000,6756000,112.229988098145
1012000,6756000,112.900245666504
1014000,6756000,114.325881958008
1016000,6756000,116.209762573242
1018000,6756000,117.952247619629
1020000,6756000,119.899917602539
1022000,6756000,121.413841247559
1024000,6756000,123.428688049316
1026000,6756000,125.18448638916
1028000,6756000,127.728446960449
1030000,6756000,130.628143310547
1032000,6756000,133.914520263672
1034000,6756000,136.498519897461
1036000,6756000,137.651565551758
1038000,6756000,139.113708496094
1040000,6756000,140.295989990234
1042000,6756000,141.880065917969
1044000,6756000,142.332458496094
1046000,6756000,141.80549621582
1048000,6756000,141.183624267578
1050000,6756000,140.116836547852
1052000,6756000,139.470565795898
1054000,6756000,137.948120117188
1056000,6756000,137.059478759766
1058000,6756000,136.615936279297
1060000,6756000,136.785598754883
1062000,6756000,136.94792175293
1064000,6756000,136.256271362305
1066000,6756000,136.101348876953
1068000,6756000,135.884780883789
1070000,6756000,135.542465209961
1072000,6756000,134.691680908203
1074000,6756000,134.633575439453
1076000,6756000,134.818817138672
1078000,6756000,134.336273193359
1080000,6756000,134.551696777344
1082000,6756000,134.294845581055
1084000,6756000,134.451095581055
1086000,6756000,134.166625976563
1088000,6756000,134.182723999023
1090000,6756000,134.011047363281
1092000,6756000,132.934127807617
1094000,6756000,131.495635986328
1096000,6756000,129.040969848633
1098000,6756000,127.522811889648
1100000,6756000,126.504058837891
1102000,6756000,126.841270446777
1104000,6756000,127.939598083496
1106000,6756000,128.267883300781
1108000,6756000,128.391784667969
1110000,6756000,127.772361755371
1112000,6756000,128.071151733398
1114000,6756000,128.341262817383
1116000,6756000,128.971557617188
1118000,6756000,130.041580200195
1120000,6756000,130.372482299805
1122000,6756000,130.100936889648
1124000,6756000,129.281356811523
1126000,6756000,129.34260559082
1128000,6756000,128.657913208008
1130000,6756000,127.078086853027
1132000,6756000,125.781753540039
1134000,6756000,124.718544006348
1136000,6756000,124.11589050293
1138000,6756000,123.027763366699
1140000,6756000,122.777198791504
1142000,6756000,122.715728759766
1144000,6756000,123.263214111328
1146000,6756000,123.513771057129
580000,6758000,107.568580627441
582000,6758000,106.14217376709
584000,6758000,104.939750671387
586000,6758000,103.827941894531
588000,6758000,103.405075073242
590000,6758000,104.273818969727
592000,6758000,105.181648254395
594000,6758000,106.026466369629
596000,6758000,106.563346862793
598000,6758000,107.601425170898
600000,6758000,108.241958618164
602000,6758000,108.677764892578
604000,6758000,109.345016479492
606000,6758000,109.434226989746
608000,6758000,109.530990600586
610000,6758000,109.96940612793
612000,6758000,111.377410888672
614000,6758000,112.740669250488
616000,6758000,112.97779083252
618000,6758000,113.719459533691
620000,6758000,114.439414978027
622000,6758000,115.43327331543
624000,6758000,116.129791259766
626000,6758000,117.181747436523
628000,6758000,117.903457641602
630000,6758000,117.553047180176
