X,Y,FA,SRTM
-47.00000134,-8.21666683100001,-25.4072437286377,338.021298399174
-47.00000134,-8.20000016400001,-24.669994354248,370.001607999939
-47.00000134,-8.18333349700001,-24.1433238983154,331.01145050469
-47.00000134,-8.16666683000001,-24.2575302124023,349.008822423786
-47.00000134,-8.15000016300001,-25.0571250915527,344.999999056426
-47.00000134,-8.13333349600001,-26.5898571014404,297.039118146051
-47.00000134,-8.11666682900001,-27.6426315307617,249.00940297309
-47.00000134,-8.10000016200001,-28.9649639129639,374.001802087327
-47.00000134,-8.08333349500001,-29.3030910491943,270.014182016553
-47.00000134,-8.06666682800001,-29.2108535766602,232.996144311404
-47.00000134,-8.05000016100001,-28.5055351257324,269.016660531334
-47.00000134,-8.03333349400001,-27.1982135772705,357.003674330437
-47.00000134,-8.01666682700001,-25.8887901306152,379.990283509657
-47.00000134,-8.00000016000001,-24.2001838684082,379.005400617238
-47.00000134,-7.98333349300001,-22.9430751800537,337.001872951451
-47.00000134,-7.96666682600001,-21.7455577850342,351.997357292617
-47.00000134,-7.95000015900001,-20.9748077392578,347
-47.00000134,-7.93333349200001,-20.9517154693604,345.998392306224
-46.983334673,-8.21666683100001,-26.2149772644043,304.005808482721
-46.983334673,-8.20000016400001,-25.607307434082,326.999609563792
-46.983334673,-8.18333349700001,-25.2877674102783,308.022272651952
-46.983334673,-8.16666683000001,-25.6863250732422,267.048419587069
-46.983334673,-8.15000016300001,-26.3611450195313,266.029482685533
-46.983334673,-8.13333349600001,-27.5319118499756,283.986887742144
-46.983334673,-8.11666682900001,-28.7484264373779,311.008718294571
-46.983334673,-8.10000016200001,-29.6129035949707,393.998586800038
-46.983334673,-8.08333349500001,-29.9097003936768,381.967795831631
-46.983334673,-8.06666682800001,-29.5205707550049,268.002574666163
-46.983334673,-8.05000016100001,-28.6693115234375,238.995115200073
-46.983334673,-8.03333349400001,-27.2750606536865,266.984828080213
-46.983334673,-8.01666682700001,-25.8424224853516,325.981290330839
-46.983334673,-8.00000016000001,-24.0362873077393,388
-46.983334673,-7.98333349300001,-22.8010520935059,368.999159107998
-46.983334673,-7.96666682600001,-21.7480945587158,359.001608214691
-46.983334673,-7.95000015900001,-21.1319332122803,343.000190799982
-46.983334673,-7.93333349200001,-21.0761604309082,334.005203905884
-46.966668006,-8.21666683100001,-27.015079498291,365.982482695616
-46.966668006,-8.20000016400001,-26.2718524932861,319.011448781057
-46.966668006,-8.18333349700001,-26.3245258331299,322.005372905753
-46.966668006,-8.16666683000001,-27.1832313537598,293.004703369985
-46.966668006,-8.15000016300001,-27.7308616638184,308.998196256972
-46.966668006,-8.13333349600001,-28.9206314086914,259.991184166058
-46.966668006,-8.11666682900001,-29.594425201416,314.995422626412
-46.966668006,-8.10000016200001,-30.1527614593506,366.96605065197
-46.966668006,-8.08333349500001,-29.9051742553711,379.985641859145
-46.966668006,-8.06666682800001,-29.1702613830566,335.00861555504
-46.966668006,-8.05000016100001,-28.2459449768066,316.023530899182
-46.966668006,-8.03333349400001,-26.8170375823975,246.012471379831
-46.966668006,-8.01666682700001,-25.3394031524658,334.002829290695
-46.966668006,-8.00000016000001,-23.7605838775635,330.998201417241
-46.966668006,-7.98333349300001,-22.8109226226807,363.999425200055
-46.966668006,-7.96666682600001,-21.9996032714844,354.995943814695
-46.966668006,-7.95000015900001,-21.815710067749,321.997358613369
-46.966668006,-7.93333349200001,-21.5860710144043,345.001035387975
-46.950001339,-8.21666683100001,-27.6249828338623,294.008231516534
-46.950001339,-8.20000016400001,-27.0735015869141,321.978715471091
-46.950001339,-8.18333349700001,-27.1001129150391,336.959512504236
-46.950001339,-8.16666683000001,-27.6800155639648,333.00481756542
-46.950001339,-8.15000016300001,-28.5815906524658,370.994593743111
-46.950001339,-8.13333349600001,-29.432014465332,330.989338627674
-46.950001339,-8.11666682900001,-29.8730030059814,327.971663253072
-46.950001339,-8.10000016200001,-29.830472946167,362.999024251745
-46.950001339,-8.08333349500001,-29.2834453582764,353.018253058636
-46.950001339,-8.06666682800001,-28.334192276001,317.972495156136
-46.950001339,-8.05000016100001,-27.5428085327148,277.012212047307
-46.950001339,-8.03333349400001,-26.467565536499,251.993187819863
-46.950001339,-8.01666682700001,-25.1824111938477,261.99736329092
-46.950001339,-8.00000016000001,-23.8130435943604,271.004819782804
-46.950001339,-7.98333349300001,-23.0506134033203,319.017867015029
-46.950001339,-7.96666682600001,-22.831335067749,321.01338997076
-46.950001339,-7.95000015900001,-22.2358646392822,318.998774493448
-46.950001339,-7.93333349200001,-22.2801094055176,335.004819787946
-46.933334672,-8.21666683100001,-27.8679046630859,431.993771600206
-46.933334672,-8.20000016400001,-27.6736183166504,322.055460894699
-46.933334672,-8.18333349700001,-27.6329345703125,313.010197447463
-46.933334672,-8.16666683000001,-28.1171894073486,380.991339711123
-46.933334672,-8.15000016300001,-28.7425689697266,384.000194971558
-46.933334672,-8.13333349600001,-29.3684425354004,326.01918563131
-46.933334672,-8.11666682900001,-29.5153408050537,347.961884940186
-46.933334672,-8.10000016200001,-29.2103595733643,363.942469837302
-46.933334672,-8.08333349500001,-28.6479473114014,378.97950386577
-46.933334672,-8.06666682800001,-27.7344932556152,265.000967999913
-46.933334672,-8.05000016100001,-27.1104736328125,351.001415372457
-46.933334672,-8.03333349400001,-26.3716201782227,348.993188490546
-46.933334672,-8.01666682700001,-25.34375,315.969548691874
-46.933334672,-8.00000016000001,-24.1500988006592,265.995182342313
-46.933334672,-7.98333349300001,-23.6998424530029,260.004435076509
-46.933334672,-7.96666682600001,-23.4258346557617,273.032696684521
