X,Y,CMA
-47.00855,-8.2317,17.6913604736328
-47.00855,-8.23055,17.9219970703125
-47.00855,-8.2294,18.1427478790283
-47.00855,-8.22825,18.3718299865723
-47.00855,-8.2271,18.6023292541504
-47.00855,-8.22595,18.8105926513672
-47.00855,-8.2248,18.986743927002
-47.00855,-8.22365,19.1249256134033
-47.00855,-8.2225,19.2218856811523
-47.00855,-8.22135,19.2900466918945
-47.00855,-8.2202,19.34987449646
-47.00855,-8.21905,19.4130573272705
-47.00855,-8.2179,19.5032138824463
-47.00855,-8.21675,19.6266689300537
-47.00855,-8.2156,19.7481231689453
-47.00855,-8.21445,19.8244895935059
-47.00855,-8.2133,19.8573265075684
-47.00855,-8.21215,19.9235572814941
-47.00855,-8.211,20.0537872314453
-47.00855,-8.20985,20.1617641448975
-47.00855,-8.2087,20.2187404632568
-47.00855,-8.20755,20.3450603485107
-47.00855,-8.2064,20.6233196258545
-47.00855,-8.20525,20.961389541626
-47.00855,-8.2041,21.2569141387939
-47.00855,-8.20295,21.5255584716797
-47.00855,-8.2018,21.834716796875
-47.00855,-8.20065,22.2321376800537
-47.00855,-8.1995,22.7024784088135
-47.00855,-8.19835,23.1534366607666
-47.00855,-8.1972,23.5769824981689
-47.00855,-8.19605,24.038236618042
-47.00855,-8.1949,24.5180892944336
-47.00855,-8.19375,24.9630146026611
-47.00855,-8.1926,25.3429660797119
-47.00855,-8.19145,25.6852741241455
-47.00855,-8.1903,26.0292987823486
-47.00855,-8.18915,26.3432655334473
-47.00855,-8.188,26.6011219024658
-47.00855,-8.18685,26.876335144043
-47.00855,-8.1857,27.2129993438721
-47.00855,-8.18455,27.5315704345703
-47.00855,-8.1834,27.8348560333252
-47.00855,-8.18225,28.1702556610107
-47.00855,-8.1811,28.5196990966797
-47.00855,-8.17995,28.8659381866455
-47.00855,-8.1788,29.2268238067627
-47.00855,-8.17765,29.5944900512695
-47.00855,-8.1765,29.9163608551025
-47.00855,-8.17535,30.1688365936279
-47.00855,-8.1742,30.3886985778809
-47.00855,-8.17305,30.6171245574951
-47.00855,-8.1719,30.8601818084717
-47.00855,-8.17075,31.1146545410156
-47.00855,-8.1696,31.3737373352051
-47.00855,-8.16845,31.6199951171875
-47.00855,-8.1673,31.8245792388916
-47.00855,-8.16615,31.9578475952148
-47.00855,-8.165,32.0231437683105
-47.00855,-8.16385,32.0276756286621
-47.00855,-8.1627,31.9394130706787
-47.00855,-8.16155,31.7375507354736
-47.00855,-8.1604,31.4099311828613
-47.00855,-8.15925,30.9821109771729
-47.00855,-8.1581,30.5182056427002
-47.00855,-8.15695,30.0449199676514
-47.00855,-8.1558,29.5055713653564
-47.00855,-8.15465,28.8248462677002
-47.00855,-8.1535,27.9850902557373
-47.00855,-8.15235,27.0413303375244
-47.00855,-8.1512,26.0754013061523
-47.00855,-8.15005,25.1171779632568
-47.00855,-8.1489,24.134916305542
-47.00855,-8.14775,23.1307907104492
-47.00855,-8.1466,22.1781158447266
-47.00855,-8.14545,21.2810878753662
-47.00855,-8.1443,20.3764095306396
-47.00855,-8.14315,19.5265522003174
-47.00855,-8.142,18.8578300476074
-47.00855,-8.14085,18.3075675964355
-47.00855,-8.1397,17.7499465942383
-47.00855,-8.13855,17.1662654876709
-47.00855,-8.1374,16.6082763671875
-47.00855,-8.13625,16.1454658508301
-47.00855,-8.1351,15.7699069976807
-47.00855,-8.13395,15.456374168396
-47.00855,-8.1328,15.2006349563599
-47.00855,-8.13165,14.9455270767212
-47.00855,-8.1305,14.6374530792236
-47.00855,-8.12935,14.2781715393066
-47.00855,-8.1282,14.0058784484863
-47.00855,-8.12705,14.0658187866211
-47.00855,-8.1259,14.4040594100952
-47.00855,-8.12475,14.7022342681885
-47.00855,-8.1236,14.8546123504639
-47.00855,-8.12245,14.9405460357666
-47.00855,-8.1213,15.0274677276611
-47.00855,-8.12015,15.1646156311035
-47.00855,-8.119,15.3735074996948
-47.00855,-8.11785,15.6371030807495
-47.00855,-8.1167,15.9232912063599
-47.00855,-8.11555,16.2106342315674
-47.00855,-8.1144,16.510591506958
-47.00855,-8.11325,16.8731746673584
-47.00855,-8.1121,17.3079853057861
-47.00855,-8.11095,17.7256660461426
-47.00855,-8.1098,18.0889263153076
-47.00855,-8.10865,18.4240741729736
-47.00855,-8.1075,18.7402763366699
-47.00855,-8.10635,19.0517616271973
-47.00855,-8.1052,19.3564987182617
-47.00855,-8.10405,19.6434078216553
-47.00855,-8.1029,19.9204978942871
-47.00855,-8.10175,20.192834854126
-47.00855,-8.1006,20.4391441345215
-47.00855,-8.09945,20.6266040802002
-47.00855,-8.0983,20.7514991760254
-47.00855,-8.09715,20.8337440490723
-47.00855,-8.096,20.8905506134033
-47.00855,-8.09485,20.9393196105957
-47.00855,-8.0937,20.9824371337891
-47.00855,-8.09255,21.0077037811279
-47.00855,-8.0914,20.9944801330566
-47.00855,-8.09025,20.933744430542
-47.00855,-8.0891,20.8344783782959
-47.00855,-8.08795,20.707145690918
-47.00855,-8.0868,20.5499420166016
-47.00855,-8.08565,20.3564281463623
-47.00855,-8.0845,20.1460514068604
-47.00855,-8.08335,19.9415378570557
-47.00855,-8.0822,19.758975982666
-47.00855,-8.08105,19.6114349365234
-47.00855,-8.0799,19.4680099487305
-47.00855,-8.07875,19.2736587524414
-47.00855,-8.0776,19.0144271850586
-47.00855,-8.07645,18.7291164398193
-47.00855,-8.0753,18.4727020263672
-47.00855,-8.07415,18.2431659698486
-47.00855,-8.073,17.9861640930176
-47.00855,-8.07185,17.6834506988525
-47.00855,-8.0707,17.3644351959229
-47.00855,-8.06955,17.0352420806885
-47.00855,-8.0684,16.6585254669189
-47.00855,-8.06725,16.2120742797852
-47.00855,-8.0661,15.7138738632202
