LESTE,NORTE,CMA
278208,9089136,2.44564604759216
278208,9089262,0.524887382984161
278208,9089388,0.992226004600525
278208,9089514,1.67943644523621
278208,9089640,1.48379611968994
278208,9089766,0.756682097911835
278208,9089892,0.654655456542969
278208,9090018,0.724784314632416
278208,9090144,0.722148776054382
278208,9090270,0.699424207210541
278208,9090396,0.657880842685699
278208,9090522,0.588697552680969
278208,9090648,0.485703468322754
278208,9090774,0.367579430341721
278208,9090900,0.266551196575165
278208,9091026,0.194078862667084
278208,9091152,0.132321536540985
278208,9091278,0.0540317595005035
278208,9091404,-0.0614241063594818
278208,9091530,-0.199936211109161
278208,9091656,-0.306565821170807
278208,9091782,-0.360853552818298
278208,9091908,-0.41545695066452
278208,9092034,-0.508358120918274
278208,9092160,-0.592858672142029
278208,9092286,-0.608462870121002
278208,9092412,-0.564488232135773
278208,9092538,-0.513083040714264
278208,9092664,-0.48268711566925
278208,9092790,-0.455884397029877
278208,9092916,-0.424699127674103
278208,9093042,-0.424798905849457
278208,9093168,-0.411196351051331
278208,9093294,-0.34263014793396
278208,9093420,-0.219875872135162
278208,9093546,-0.0956231951713562
278208,9093672,-0.0219160318374634
278208,9093798,0.00447309017181396
278208,9093924,0.0156699419021606
278208,9094050,0.031943678855896
278208,9094176,0.0549411177635193
278208,9094302,0.0698884129524231
278208,9094428,0.0806033611297607
278208,9094554,0.107876181602478
278208,9094680,0.142138659954071
278208,9094806,0.16438090801239
278208,9094932,0.19636344909668
278208,9095058,0.259559810161591
278208,9095184,0.311616241931915
278208,9095310,0.312925517559052
278208,9095436,0.254094123840332
278208,9095562,1.19242262840271
278208,9095688,4.0022873878479
278208,9095814,4.65167474746704
278208,9095940,4.520339012146
278208,9096066,4.56418323516846
278208,9096192,4.61643838882446
278208,9096318,4.68099546432495
278208,9096444,4.75982475280762
278208,9096570,4.82645177841187
278208,9096696,4.84257888793945
278208,9096822,4.79764747619629
278208,9096948,4.71140670776367
278208,9097074,4.59955787658691
278208,9097200,4.45136880874634
278208,9097326,4.25165843963623
278208,9097452,3.99856352806091
278208,9097578,3.72293329238892
278208,9097704,3.45597767829895
278208,9097830,3.1904308795929
278208,9097956,2.88492441177368
278208,9098082,2.5033483505249
278208,9098208,2.06789565086365
278208,9098334,1.62727785110474
278208,9098460,1.20447993278503
278208,9098586,0.797228991985321
278208,9098712,0.392976999282837
278208,9098838,0.00246584415435791
278208,9098964,-0.370712399482727
278208,9099090,-0.756680846214294
278208,9099216,-1.15113627910614
278208,9099342,-1.49499070644379
278208,9099468,-1.73130512237549
